lambda,K,N,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,8,G0,run140_u0065082.log,34.40425605,36.0,31001.720772,1.107308,99.99642823697387,12.28241,4.327957e-06,99.9999647629659,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.9115701,5.07896882,2.13628366,0.0,0.0,0.0,1.01321593,-2.6148031,1.4989865,0.0,0.0,0.0884299,0.07896882,21.13628366,0.0,0.0,0.0,-8.98678407,-2.6148031,1.4989865
LM_normal,1,8,G1,run141_u0065083.log,42.949073829999996,30.0,11619.297073,0.620985,99.99465557170888,14.85523,2.914641e-06,99.99998037969793,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.0625443,2.12484622,19.36449269,0.0,0.0,0.0,2.56257985,-1.38718505,1.57258542,0.0,0.0,-0.0625443,0.12484622,34.36449269,0.0,0.0,0.0,-5.43742015,-1.38718505,1.57258542
LM_normal,1,8,G2,run142_u0065085.log,32.78590812,30.0,69500.18841,9.408868,99.98646209713203,16.92355,9.641915e-06,99.9999430266404,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.83726751,8.58630902,-5.42811042,0.0,0.0,0.0,1.5070035,-3.19849698,1.47348336,0.0,0.0,0.16273249,0.58630902,16.57188958,0.0,0.0,0.0,-10.79299669,-3.19849698,1.47348336
LM_normal,1,8,G3,run143_u0065087.log,98.03367303,31.0,28643.444391,8.176368,99.97145466205674,42.36139,1.210464e-05,99.99997142530026,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.76216329,6.46578766,39.88154047,0.0,0.0,0.0,-7.72449262,-6.24403712,4.37997807,0.0,0.0,0.23783671,0.46578766,64.88154047,0.0,0.0,0.0,-21.824493,-6.24403712,4.37997807
LM_normal,1,8,G4,run144_u0065091.log,19.03502004,25.0,53232.445916,0.76266,99.99856730235315,13.16629,2.779422e-06,99.99997888986192,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.94536472,3.01846487,-3.53511581,0.0,0.0,0.0,-3.25462163,-1.85050931,1.09190481,0.0,0.0,0.05463528,0.01846487,9.46488419,0.0,0.0,0.0,-6.55462158,-1.85050931,1.09190481
LM_normal,1,9,G0,run175_u0065004.log,17.201464639999998,30.0,34880.38621,1.067123,99.99694062160442,26.84577,1.916277e-06,99.99999286190338,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.90906881,4.98607811,-24.68582333,0.0,0.0,0.0,1.73670219,-2.59216482,0.5553256,0.0,0.0,0.09093119,-0.01392189,-5.68582333,0.0,0.0,0.0,-8.26329781,-2.59216482,0.5553256
LM_normal,1,9,G1,run176_u0065007.log,29.957017269999998,31.0,13081.900933,0.687654,99.99474347036015,7.170692,4.245828e-06,99.9999407891456,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.00281369,2.06929194,5.07947651,0.0,0.0,0.0,1.34889684,-1.88932781,1.26500416,0.0,0.0,-0.00281369,0.06929194,20.07947651,0.0,0.0,0.0,-6.65110316,-1.88932781,1.26500416
LM_normal,1,9,G2,run177_u0065009.log,20.12208966,30.0,78133.62629,11.664802,99.98507070188103,20.73218,6.016131e-06,99.99997098167681,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.87281012,8.12880843,-17.89329442,0.0,0.0,0.0,1.07981867,-3.41569903,1.12350522,0.0,0.0,0.12718988,0.12880843,4.10670558,0.0,0.0,0.0,-11.22018152,-3.41569903,1.12350522
LM_normal,1,9,G3,run178_u0065014.log,27.307751720000002,35.0,32194.545143,5.168048,99.98394744209914,25.49703,4.586698e-06,99.99998201085381,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.83183826,6.0275321,-20.84484541,0.0,0.0,0.0,-2.22999647,-5.00694121,1.61996523,0.0,0.0,0.16816174,0.0275321,4.15515459,0.0,0.0,0.0,-16.32999685,-5.00694121,1.61996523
LM_normal,1,9,G4,run179_u0065017.log,18.90508211,24.0,59886.724841,0.245051,99.99959080914735,12.52342,9.664687e-07,99.99999228270951,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.98791258,3.02652133,0.91608931,0.0,0.0,0.0,-0.00282758,-0.85282788,0.79472864,0.0,0.0,0.01208742,0.02652133,13.91608931,0.0,0.0,0.0,-3.30282753,-0.85282788,0.79472864
LM_normal,1,10,G0,run210_u0065034.log,44.10660029,31.0,38760.703381,1.689818,99.9956403835519,11.62489,1.150613e-05,99.99990102160106,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.88806732,5.1151781,10.96449728,0.0,0.0,0.0,0.60653994,-2.69078081,1.83075136,0.0,0.0,0.11193268,0.1151781,29.96449728,0.0,0.0,0.0,-9.39346006,-2.69078081,1.83075136
LM_normal,1,10,G1,run211_u0065046.log,14.8859248,31.0,14542.122973,1.231045,99.99153462666843,16.57682,4.437094e-06,99.99997323314122,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.92142839,2.00786041,-12.00343965,0.0,0.0,0.0,-0.34184589,-2.53697069,0.92411585,0.0,0.0,0.07857161,0.00786041,2.99656035,0.0,0.0,0.0,-8.34184589,-2.53697069,0.92411585
LM_normal,1,10,G2,run212_u0065047.log,15.11900393,28.0,86857.075657,7.268261,99.99163192987442,32.6991,1.02086e-05,99.99996878018048,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.91184422,8.10300633,-18.63099617,0.0,0.0,0.0,4.04401065,-2.5316979,0.77115055,0.0,0.0,0.08815578,0.10300633,3.36900383,0.0,0.0,0.0,-8.25598954,-2.5316979,0.77115055
