lambda,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,10,20,G1,run21_u0065046.log,16.77655077,35,26490.738156,0.318628,99.99879720980924,8.121485,1.822852e-06,99.99997755518851,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.11440972,-6.02213746,-1.27760408,0.0,0.0,0.0,0.94998332,-1.13445373,0.73313726,0.0,0.0,-0.11440972,-0.02213746,10.72239592,0.0,0.0,0.0,-4.05001668,-1.13445373,0.73313726
LM_normal,1,10,20,G2,run22_u0065064.log,57.337574790000005,43,141178.74987,0.84274,99.99940306880409,22.633,3.369499e-06,99.99998511245084,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.17525617,-11.82421008,26.81679228,0.0,0.0,0.0,19.42602875,1.68195115,1.41226886,0.0,0.0,0.82474383,0.17578992,48.81679228,0.0,0.0,0.0,4.42602875,1.68195115,1.41226886
LM_normal,1,10,20,G3,run23_u0065065.log,64.6638567,57,190638.562542,85.162426,99.9553278073101,28.16227,3.248536e-05,99.99988464935534,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.98587891,-8.83985514,1.52396275,0.0,0.0,0.0,-1.59462763,-8.41560473,2.27568536,0.0,0.0,0.01412109,-0.83985514,26.52396275,0.0,0.0,0.0,-26.59462763,-8.41560473,2.27568536
LM_normal,1,10,20,G4,run24_u0065078.log,26.86870298,28,16821.914829,2.310436,99.98626532102031,9.934855,6.050727e-06,99.9999390959707,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.78709984,-1.83112522,5.6194227,0.0,0.0,0.0,-5.86688673,-2.39867521,1.6019434,0.0,0.0,0.21290016,0.16887478,13.6194227,0.0,0.0,0.0,-8.86688673,-2.39867521,1.6019434
LM_normal,1,12,24,G0,run25_u0065083.log,24.35254567,38,46485.968098,1.560966,99.99664207057772,12.86011,3.644466e-06,99.99997166069342,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.89903587,5.03518697,-7.54054685,0.0,0.0,0.0,1.0824678,-2.65356416,1.18584506,0.0,0.0,0.10096413,0.03518697,11.45945315,0.0,0.0,0.0,-8.9175322,-2.65356416,1.18584506
LM_normal,1,12,24,G1,run26_u0065092.log,6.12143256,41,31776.65383,0.124789,99.99960729345302,16.24748,2.422427e-06,99.99998509044481,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.93192688,-5.99467159,-15.60311993,0.0,0.0,0.0,3.19058343,-0.5884475,0.04704703,0.0,0.0,0.06807312,0.00532841,-3.60311993,0.0,0.0,0.0,-1.80941657,-0.5884475,0.04704703
LM_normal,1,12,24,G2,run27_u0065007.log,51.09879475,35,169448.222925,3.22912,99.99809433233098,20.16947,1.17698e-05,99.99994164546713,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.28174545,-11.88558664,12.55016586,0.0,0.0,0.0,4.36473135,-3.10507671,1.97561562,0.0,0.0,0.71825455,0.11441336,34.55016586,0.0,0.0,0.0,-10.63526865,-3.10507671,1.97561562
LM_normal,1,12,24,G3,run28_u0065014.log,40.92284894,48,228829.569229,56.622816,99.97525546362266,21.00203,2.987562e-05,99.9998577488938,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.92019938,-8.45039385,-11.77043609,0.0,0.0,0.0,5.2435692,-6.29204076,1.114619,0.0,0.0,0.07980062,-0.45039385,13.22956391,0.0,0.0,0.0,-19.7564308,-6.29204076,1.114619
LM_normal,1,12,24,G4,run29_u0065022.log,19.00982417,28,20176.544543,0.560398,99.99722252738171,7.554182,3.917356e-06,99.99994814321393,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.85421497,-1.8606984,3.37394465,0.0,0.0,0.0,-2.03465253,-1.34930462,0.96683574,0.0,0.0,0.14578503,0.1393016,11.37394465,0.0,0.0,0.0,-5.03465253,-1.34930462,0.96683574
LM_normal,1,15,30,G0,run30_u0065031.log,55.17004685,41,58158.100072,1.270112,99.99781610472415,28.09221,2.632243e-06,99.9999906299896,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.94992032,5.15908183,26.15848482,0.0,0.0,0.0,3.77340254,-1.61585843,1.95994463,0.0,0.0,0.05007968,0.15908183,45.15848482,0.0,0.0,0.0,-6.22659746,-1.61585843,1.95994463
LM_normal,1,15,30,G1,run31_u0065085.log,23.76637671,30,39741.307157,0.194326,99.99951102262634,13.73036,1.906314e-06,99.99998611606686,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.31045219,-6.03666791,10.15723786,0.0,0.0,0.0,4.52203757,0.04676392,0.7372924,0.0,0.0,-0.31045219,-0.03666791,22.15723786,0.0,0.0,0.0,-0.47796243,0.04676392,0.7372924
LM_normal,1,15,30,G2,run32_u0065009.log,40.19584472,26,211779.725272,1.536183,99.99927463169668,22.64229,2.352472e-06,99.99998961027353,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.39055771,-11.89710475,8.53033064,0.0,0.0,0.0,9.12134995,-1.68754221,1.38698428,0.0,0.0,0.60944229,0.10289525,30.53033064,0.0,0.0,0.0,-5.87865005,-1.68754221,1.38698428
LM_normal,1,15,30,G3,run33_u0065034.log,50.66525079,28,286049.941474,204.343474,99.92856370711107,38.7454,8.368339e-05,99.99978401722525,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.66646722,-7.75130962,-30.18722518,0.0,0.0,0.0,-7.70125446,-10.06547052,2.12907747,0.0,0.0,0.33353278,0.24869038,-5.18722518,0.0,0.0,0.0,-32.70125446,-10.06547052,2.12907747
LM_normal,1,15,30,G4,run34_u0065046.log,23.98343388,30,25193.451844,0.663015,99.99736830425579,11.6775,5.722687e-06,99.99995099390281,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.79460028,-1.7775341,10.42049072,0.0,0.0,0.0,-0.37164095,-0.79397214,0.96946445,0.0,0.0,0.20539972,0.2224659,18.42049072,0.0,0.0,0.0,-3.37164095,-0.79397214,0.96946445
LM_normal,1,18,36,G0,run35_u0065064.log,37.71383873,33,69715.904002,5.122777,99.9926519248752,12.18255,4.445461e-06,99.99996350960186,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.86193863,5.07465987,-0.31224632,0.0,0.0,0.0,-3.04312122,-3.84074945,1.92949314,0.0,0.0,0.13806137,0.07465987,18.68775368,0.0,0.0,0.0,-13.04312122,-3.84074945,1.92949314
LM_normal,1,18,36,G1,run36_u0065078.log,15.14754785,42,47655.194277,1.020574,99.99785842022996,10.55186,3.869337e-06,99.9999633302849,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.057111,-6.01221581,-4.36800644,0.0,0.0,0.0,-0.17613369,-1.51306714,0.75702665,0.0,0.0,-0.057111,-0.01221581,7.63199356,0.0,0.0,0.0,-5.17613369,-1.51306714,0.75702665
LM_normal,1,18,36,G2,run37_u0065083.log,20.47449477,26,254165.103891,0.145914,99.99994259086013,23.70709,2.792891e-06,99.9999882191741,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.66615628,-11.93141978,-3.0549131,0.0,0.0,0.0,15.32671961,0.20418891,0.59607541,0.0,0.0,0.33384372,0.06858022,18.9450869,0.0,0.0,0.0,0.32671961,0.20418891,0.59607541
LM_normal,1,18,36,G3,run38_u0065092.log,141.68278518,38,343228.133215,275.115104,99.91984482698926,62.3923,9.482048e-05,99.99984802534928,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.38586141,-10.71418025,59.40264737,0.0,0.0,0.0,-12.03260136,-11.4323724,5.71512239,0.0,0.0,-0.38586141,-2.71418025,84.40264737,0.0,0.0,0.0,-37.03260136,-11.4323724,5.71512239
