Phantom already exists, skipping: cuboid_phantom_5_normal.npy

################################################################################
Running cuboid=normal scenario=G0 N_ANGLES=180, K=5
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5
18   proj_018.png  417.500000  62.358553    608  399.401786  169.564286    560  534.041199  270.659176    534  555.555950  383.063943    563  417.583748  502.129353    603
19   proj_019.png  412.760263  62.435140    609  399.500000  169.500000    560  538.540590  270.660517    542  555.610229  383.222222    567  412.816832  502.024752    606
20   proj_020.png  408.218543  62.433775    604  399.778571  169.501786    560  542.953875  270.797048    542  555.515098  383.436945    563  408.156928  501.774624    599
21   proj_021.png  403.500000  62.455738    610  400.021016  169.387040    571  547.394444  270.798148    540  555.239583  383.715278    576  403.621311  501.586885    610
22   proj_022.png  399.255426  62.380634    599  400.420677  169.327986    561  551.654851  271.016791    536  554.966841  383.794066    573  399.118531  501.176962    599
23   proj_023.png  394.747927  62.480929    603  401.005272  169.323374    569  555.828729  271.213628    543  554.519931  383.987868    577  394.871880  500.978369    601
24   proj_024.png  390.504119  62.477759    607  401.614159  169.240708    565  559.880515  271.305147    544  554.036269  384.162349    579  390.610561  500.792079    606
25   proj_025.png  386.518946  62.487644    607  402.160777  169.213781    566  563.977941  271.413603    544  553.428819  384.385417    576  386.454695  500.461285    607
26   proj_026.png  382.495840  62.477537    601  403.051601  169.124555    562  567.916974  271.474170    542  552.834783  384.586087    575  382.438333  500.126667    600
27   proj_027.png  378.520868  62.490818    599  403.932504  169.106572    563  571.666667  271.655493    537  551.921603  384.696864    574  378.597990  499.839196    597
28   proj_028.png  374.862647  62.515913    597  404.861456  169.005329    563  575.465201  271.738095    546  551.013817  384.905009    579  374.717608  499.559801    602
29   proj_029.png  371.266223  62.522463    601  405.967800  168.967800    559  579.039855  271.983696    552  550.037607  385.095726    585  371.223706  499.081803    599
30   proj_030.png  367.852101  62.522689    595  407.146691  168.926655    559  582.503650  272.184307    548  548.943005  385.176166    579  367.865997  498.917923    597
31   proj_031.png  364.436153  62.557214    603  408.313274  168.890265    565  585.967213  272.313297    549  547.773196  385.360825    582  364.436573  498.497529    607
32   proj_032.png  361.304493  62.562396    601  409.598230  168.888496    565  589.232852  272.406137    554  546.537162  385.653716    592  361.250831  498.083056    602
