Phantom already exists, skipping: cuboid_phantom_1_normal.npy

################################################################################
Running cuboid=normal scenario=G3 N_ANGLES=360, K=1
view   0 | SOD= 556.844 mm | SDD= 802.742 mm | M= 1.442 | incident=4.7367°
[[ 239.08467    -500.88773     -45.        ]
 [-110.79194     218.66446      20.        ]
 [   0.13558364    0.06322369    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1
63   proj_063.png  351.946779  120.834734   1071
64   proj_064.png  350.843925  120.810280   1070
65   proj_065.png  349.700661  120.676110   1059
66   proj_066.png  348.700474  120.561137   1055
67   proj_067.png  347.647393  120.458768   1055
68   proj_068.png  346.689163  120.395437   1052
69   proj_069.png  345.836967  120.302370   1055
70   proj_070.png  345.034188  120.187085   1053
71   proj_071.png  344.290445  120.080416   1057
72   proj_072.png  343.525568  119.944129   1056
73   proj_073.png  342.938095  119.890476   1050
74   proj_074.png  342.204023  119.766284   1044
75   proj_075.png  341.749282  119.631579   1045
76   proj_076.png  341.149952  119.591213   1047
77   proj_077.png  340.753359  119.462572   1042
78   proj_078.png  340.327869  119.479267   1037
79   proj_079.png  339.958015  119.346374   1048
80   proj_080.png  339.645411  119.237681   1035
81   proj_081.png  339.469171  119.112717   1038
82   proj_082.png  339.273684  118.938756   1045
83   proj_083.png  339.100671  118.789070   1043
84   proj_084.png  339.030829  118.769750   1038
85   proj_085.png  338.972973  118.660232   1036
86   proj_086.png  339.009643  118.593057   1037
87   proj_087.png  339.086873  118.486486   1036
88   proj_088.png  339.310078  118.402132   1032
89   proj_089.png  339.465953  118.402724   1028
90   proj_090.png  339.675413  118.245870   1029
91   proj_091.png  339.968902  118.101069   1029
92   proj_092.png  340.294118  117.989216   1020
93   proj_093.png  340.732615  117.861900   1021
94   proj_094.png  341.212329  117.788650   1022
95   proj_095.png  341.665358  117.649657   1019
96   proj_096.png  342.264039  117.588177   1015
97   proj_097.png  342.886026  117.458870   1009
98   proj_098.png  343.485265  117.447937   1018
99   proj_099.png  344.263834  117.335968   1012
100  proj_100.png  344.997021  117.231380   1007
101  proj_101.png  345.806356  117.131082   1007
102  proj_102.png  346.682587  117.046766   1005
103  proj_103.png  347.604187  116.931206   1003
104  proj_104.png  348.586414  116.856144   1001
105  proj_105.png  349.632104  116.708873   1003
106  proj_106.png  350.734531  116.619760   1002
107  proj_107.png  351.831494  116.547643    997
108  proj_108.png  352.889000  116.449000   1000
109  proj_109.png  354.164493  116.389168    997
110  proj_110.png  355.368474  116.252008    996
111  proj_111.png  356.760081  116.156250    992
112  proj_112.png  358.061430  116.057402    993
113  proj_113.png  359.457027  115.983822    989
114  proj_114.png  360.940223  115.889564    987
115  proj_115.png  362.412361  115.872340    987
116  proj_116.png  363.928717  115.768839    982
117  proj_117.png  365.610718  115.689585    989
118  proj_118.png  367.096741  115.556008    982
119  proj_119.png  368.884028  115.489318    983
120  proj_120.png  370.557377  115.366803    976
121  proj_121.png  372.213483  115.252298    979
122  proj_122.png  374.078974  115.237949    975
