Phantom already exists, skipping: cuboid_phantom_4_normal.npy

################################################################################
Running cuboid=normal scenario=G4 N_ANGLES=180, K=4
view   0 | SOD= 568.374 mm | SDD= 691.050 mm | M= 1.216 | incident=3.1588°
[[  24.733675   -567.4833      -20.        ]
 [   3.6013086   122.35616      15.        ]
 [   0.14939497    0.00782946    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
59   proj_059.png  270.841737  88.967787    714  453.333333  234.034722    720  495.842784  386.868557    776  270.746853  525.423776    715
60   proj_060.png  271.777933  89.065642    716  454.887208  234.071527    727  491.885309  386.965206    776  271.712291  524.917598    716
61   proj_061.png  272.919492  89.110169    708  456.371706  234.126214    721  487.806995  387.138601    772  272.892351  524.519830    706
62   proj_062.png  274.331445  89.161473    706  457.770083  234.070637    722  483.749676  387.168612    771  274.308782  524.135977    706
63   proj_063.png  275.714286  89.260255    707  459.262069  234.120000    725  479.403081  387.360719    779  275.742254  523.685915    710
64   proj_064.png  277.444602  89.237216    704  460.547850  234.195562    721  475.010270  387.482670    779  277.423513  523.259207    706
65   proj_065.png  279.191702  89.329041    699  461.846897  234.246897    725  470.662821  387.571795    780  279.303290  522.915594    699
66   proj_066.png  281.195122  89.414634    697  463.140496  234.230028    726  466.175192  387.673913    782  281.270000  522.500000    700
67   proj_067.png  283.384173  89.486331    695  464.325517  234.277241    725  461.735294  387.800512    782  283.452074  522.127325    699
68   proj_068.png  285.752161  89.500000    694  465.468793  234.302358    721  457.081186  387.835052    776  285.780488  521.738881    697
69   proj_069.png  288.175617  89.555878    689  466.500000  234.351801    722  452.409794  387.965206    776  288.191919  521.363636    693
70   proj_070.png  290.916788  89.667153    685  467.529086  234.376731    722  447.783784  387.962677    777  290.832117  520.994161    685
71   proj_071.png  293.577875  89.742358    687  468.517241  234.448276    725  443.011538  387.983333    780  293.631503  520.710983    692
