Phantom already exists, skipping: cuboid_phantom_2_normal.npy

################################################################################
Running cuboid=normal scenario=G3 N_ANGLES=360, K=2
view   0 | SOD= 556.844 mm | SDD= 802.742 mm | M= 1.442 | incident=4.7367°
[[ 239.08467    -500.88773     -45.        ]
 [-110.79194     218.66446      20.        ]
 [   0.13558364    0.06322369    0.        ]
 [   0.            0.            0.1496    ]]
               x1         y1  area1          x2        y2  area2
range  354.396123  11.523693  167.0  354.377443  45.81813  151.0
FAILURE!!!! Some beads might have been misidentified
            image          x1          y1  area1          x2          y2  area2
138  proj_138.png  407.992670  114.092147    955  407.961698  621.368530    966
139  proj_139.png  410.229167  114.104167    960  410.267081  621.156315    966
140  proj_140.png  412.844953  113.966701    961  412.803719  620.984504    968
141  proj_141.png  415.192268  113.943574    957  415.226240  620.847107    968
142  proj_142.png  417.791449  113.891554    959  417.780992  620.473140    968
143  proj_143.png  420.295099  113.812304    959  420.296258  620.201663    962
144  proj_144.png  422.800834  113.838373    959  422.823529  620.094943    969
145  proj_145.png  425.463312  113.757862    954  425.497930  619.922360    966
146  proj_146.png  428.053775  113.701138    967  428.042181  619.763374    972
147  proj_147.png  430.647858  113.662487    957  430.637967  619.453320    964
148  proj_148.png  433.313152  113.627349    958  433.276465  619.205550    973
149  proj_149.png  435.949275  113.534161    966  435.890722  619.070103    970
150  proj_150.png  438.548287  113.485981    963  438.603696  618.951745    974
151  proj_151.png  441.116255  113.441358    972  441.191992  618.841889    974
152  proj_152.png  443.926154  113.294359    975  443.915565  618.602238    983
153  proj_153.png  446.739444  113.260556    971  446.740020  618.426817    977
154  proj_154.png  449.439175  113.244330    970  449.385087  618.220633    979
155  proj_155.png  452.118435  113.211123    971  452.222904  618.098160    978
156  proj_156.png  455.000000  113.247168    971  455.037755  618.012245    980
157  proj_157.png  457.872297  113.176107    971  457.831116  617.923234    977
158  proj_158.png  460.747433  113.100616    974  460.727459  617.844262    976
159  proj_159.png  463.568323  113.097308    966  463.519547  617.639918    972
160  proj_160.png  466.347107  113.104339    968  466.403109  617.531606    965
161  proj_161.png  469.272446  113.111455    969  469.252308  617.358974    975
162  proj_162.png  472.176836  113.057911    967  472.150307  617.247444    978
163  proj_163.png  475.141969  113.058031    965  475.094456  617.148871    974
164  proj_164.png  478.050725  113.040373    966  478.050154  617.044012    977
165  proj_165.png  480.881865  113.000000    965  480.937564  616.977482    977
166  proj_166.png  483.868530  113.012422    966  483.898773  616.958078    978
167  proj_167.png  486.835574  112.970010    967  486.850563  616.931423    977
168  proj_168.png  489.791753  113.000000    970  489.821063  616.848671    978
169  proj_169.png  492.787410  112.982456    969  492.794688  616.828396    979
170  proj_170.png  495.773196  112.971134    970  495.789581  616.810010    979
171  proj_171.png  498.748454  112.982474    970  498.766633  616.753327    977
172  proj_172.png  501.732990  112.950515    970  501.733673  616.659184    980
173  proj_173.png  504.732990  112.950515    970  504.745158  616.592253    981
174  proj_174.png  507.721936  112.936148    971  507.694501  616.530550    982
175  proj_175.png  510.721936  112.936148    971  510.669057  616.462090    976
176  proj_176.png  513.694758  112.942446    973  513.652308  616.468718    975
177  proj_177.png  516.625767  112.927403    978  516.673490  616.497441    977
178  proj_178.png  519.625767  112.927403    978  519.667349  616.508700    977
179  proj_179.png  522.585291  112.902962    979  522.667349  616.508700    977
180  proj_180.png  525.567485  112.905930    978  525.561404  616.561404    969
181  proj_181.png  528.523517  112.939673    978  528.535530  616.612770    971
182  proj_182.png  531.509724  112.928352    977  531.540596  616.633094    973
183  proj_183.png  534.492828  112.922131    976  534.464543  616.660843    973
184  proj_184.png  537.475897  112.928205    975  537.467146  616.678645    974
