lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,small,3,10,90,G4,run94_u0065080.log,0.0777023,24,51763.977353,0.266508,99.99948514775403,5.630712,0.02431232,99.56821943654727,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00301808,-2.00066487,-7.93787229,0.0,0.0,0.0,2.9931243,-0.00137537,0.00364057,0.0,0.0,-0.00301808,-0.00066487,0.06212771,0.0,0.0,0.0,-0.0068757,-0.00137537,0.00364057
GN,small,3,12,108,G0,run95_u0065064.log,0.0639154,39,128438.732985,0.274903,99.99978596565568,9.985837,0.01002294,99.8996284437649,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00270106,4.99601606,-18.94726766,0.0,0.0,0.0,9.99822068,0.00037308,0.00234566,0.0,0.0,-0.00270106,-0.00398394,0.05273234,0.0,0.0,0.0,-0.00177932,0.00037308,0.00234566
GN,small,3,12,108,G1,run96_u0065078.log,0.1974288,30,103891.114887,0.259854,99.99974987851436,15.9712,0.01105522,99.93078027950311,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.00281525,-6.00835406,-11.83671502,0.0,0.0,0.0,5.02142126,0.00043425,0.001119,0.0,0.0,-0.00281525,-0.00835406,0.16328498,0.0,0.0,0.0,0.02142126,0.00043425,0.001119
GN,small,3,12,108,G2,run97_u0065080.log,0.06348012,33,536654.569165,0.212906,99.99996032718023,26.81327,0.007811353,99.97086758534114,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99815382,-12.00151859,-21.94456306,0.0,0.0,0.0,14.99674457,0.00126039,0.00016259,0.0,0.0,0.00184618,-0.00151859,0.05543694,0.0,0.0,0.0,-0.00325543,0.00126039,0.00016259
GN,small,3,12,108,G3,run98_u0065064.log,0.5333429199999999,26,696704.919159,1.677305,99.99975925173572,29.84798,0.02286975,99.9233792370539,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.00383163,-8.03271026,-24.52679363,0.0,0.0,0.0,25.01798,-0.00433507,0.00127959,0.0,0.0,-0.00383163,-0.03271026,0.47320637,0.0,0.0,0.0,0.01798,-0.00433507,0.00127959
GN,small,3,12,108,G4,run99_u0065078.log,0.13029631,28,62084.863494,0.321245,99.99948257114227,8.287848,0.02774381,99.6652471184317,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.99700471,-2.00583515,-7.89403597,0.0,0.0,0.0,2.98710625,0.00045323,0.00215486,0.0,0.0,0.00299529,-0.00583515,0.10596403,0.0,0.0,0.0,-0.01289375,0.00045323,0.00215486
GN,small,3,15,135,G0,run100_u0065080.log,0.08085002,36,160611.297971,0.63193,99.99960654698144,13.36988,0.03009713,99.77488855546947,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00178333,4.99874283,-18.95746308,0.0,0.0,0.0,10.02606554,0.0047842,0.00442286,0.0,0.0,-0.00178333,-0.00125717,0.04253692,0.0,0.0,0.0,0.02606554,0.0047842,0.00442286
GN,small,3,15,135,G1,run101_u0065064.log,0.02662941,18,129841.407504,0.331317,99.99974482947592,11.84039,0.003326534,99.97190519906862,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.00152017,-5.99759407,-12.01296958,0.0,0.0,0.0,5.00487004,-0.00201254,-0.00285115,0.0,0.0,-0.00152017,0.00240593,-0.01296958,0.0,0.0,0.0,0.00487004,-0.00201254,-0.00285115
GN,small,3,15,135,G2,run102_u0065078.log,0.07509425,35,670868.962466,0.242387,99.99996386969534,18.48026,0.009691342,99.94755841097474,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99817803,-12.00335365,-21.94020642,0.0,0.0,0.0,14.99064538,0.0001235,-0.00064693,0.0,0.0,0.00182197,-0.00335365,0.05979358,0.0,0.0,0.0,-0.00935462,0.0001235,-0.00064693
GN,small,3,15,135,G3,run103_u0065080.log,0.12965629,36,870637.677878,0.650243,99.99992531416724,23.69552,0.009606332,99.95945929019494,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.99971439,-8.00751918,-24.88703289,0.0,0.0,0.0,25.00588713,-0.00213275,-0.00086451,0.0,0.0,0.00028561,-0.00751918,0.11296711,0.0,0.0,0.0,0.00588713,-0.00213275,-0.00086451
