
################################################################################
Running scenario=G2 N_ANGLES=360, K=1
view   0 | SOD= 570.046 mm | SDD= 696.006 mm | M= 1.221 | incident=0.2470°
[[ 119.47323    -557.34204      -7.        ]
 [ -25.864782    123.32077      -7.        ]
 [   0.14616601    0.03186934    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1
225  proj_225.png  557.018388  220.448373    707
226  proj_226.png  559.199719  220.409283    711
227  proj_227.png  561.280112  220.389356    714
228  proj_228.png  563.339385  220.335196    716
229  proj_229.png  565.359441  220.328671    715
230  proj_230.png  567.366947  220.281513    714
231  proj_231.png  569.372191  220.241573    712
232  proj_232.png  571.306180  220.155899    712
233  proj_233.png  573.251052  220.060309    713
234  proj_234.png  575.060140  219.966434    715
235  proj_235.png  577.016690  219.883171    719
236  proj_236.png  578.776078  219.810848    719
237  proj_237.png  580.644258  219.731092    714
238  proj_238.png  582.459610  219.688022    718
239  proj_239.png  584.300836  219.566852    718
240  proj_240.png  585.925208  219.569252    722
241  proj_241.png  587.603352  219.516760    716
242  proj_242.png  589.291492  219.447699    717
243  proj_243.png  590.893352  219.385042    722
244  proj_244.png  592.461003  219.349582    718
245  proj_245.png  594.067680  219.259669    724
246  proj_246.png  595.574616  219.227336    717
247  proj_247.png  597.020690  219.104828    725
248  proj_248.png  598.500000  219.000000    722
249  proj_249.png  600.000000  218.899171    724
250  proj_250.png  601.304167  218.805556    720
251  proj_251.png  602.602225  218.675939    719
252  proj_252.png  603.973757  218.691989    724
253  proj_253.png  605.302778  218.575000    720
254  proj_254.png  606.464924  218.548831    727
255  proj_255.png  607.592541  218.462707    724
256  proj_256.png  608.672652  218.412983    724
257  proj_257.png  609.845942  218.287483    727
258  proj_258.png  610.961696  218.228454    731
259  proj_259.png  611.982289  218.190736    734
260  proj_260.png  612.939891  218.087432    732
261  proj_261.png  613.912807  217.940054    734
262  proj_262.png  614.833333  217.862022    732
263  proj_263.png  615.682627  217.703146    731
264  proj_264.png  616.537190  217.592287    726
265  proj_265.png  617.414835  217.567308    728
266  proj_266.png  618.065753  217.532877    730
267  proj_267.png  618.602476  217.444292    727
268  proj_268.png  619.429945  217.424451    728
269  proj_269.png  619.978202  217.279292    734
270  proj_270.png  620.541497  217.198639    735
271  proj_271.png  621.044837  217.070652    736
272  proj_272.png  621.548168  216.963365    737
273  proj_273.png  621.943243  216.901351    740
274  proj_274.png  622.345061  216.815968    739
275  proj_275.png  622.760870  216.717391    736
276  proj_276.png  622.983718  216.588874    737
277  proj_277.png  623.255751  216.499323    739
278  proj_278.png  623.481583  216.489768    733
279  proj_279.png  623.687415  216.392422    739
280  proj_280.png  623.808311  216.266756    746
