
################################################################################
Running scenario=G0 N_ANGLES=360, K=4
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
95   proj_095.png  332.829971  62.792507    694  499.215022  203.795287    679  579.625173  352.561549    723  332.855920  491.417974    701
96   proj_096.png  332.605755  62.890647    695  500.124260  203.812130    676  578.142462  352.634855    723  332.590778  491.184438    694
97   proj_097.png  332.462319  62.855072    690  500.979351  203.823009    678  576.641667  352.690278    720  332.463977  491.000000    694
98   proj_098.png  332.331890  62.887446    693  501.839233  203.809735    678  575.088919  352.875513    731  332.339595  490.696532    692
99   proj_099.png  332.290883  62.892909    691  502.687591  203.840876    685  573.527322  352.968579    732  332.318508  490.484935    697
100  proj_100.png  332.269565  62.895652    690  503.518248  203.848175    685  571.934516  353.012278    733  332.223665  490.265512    693
101  proj_101.png  332.252540  62.908563    689  504.399123  203.852339    684  570.277624  353.161602    724  332.257267  490.031977    688
102  proj_102.png  332.319826  62.916064    691  505.278832  203.837956    685  568.638239  353.327373    727  332.260870  489.846377    690
103  proj_103.png  332.346880  62.949202    689  506.052632  203.824561    684  566.951087  353.402174    736  332.327062  489.616498    691
104  proj_104.png  332.417997  62.941945    689  506.933824  203.875000    680  565.250342  353.503420    731  332.429608  489.243832    689
105  proj_105.png  332.619739  62.962264    689  507.693431  203.891971    685  563.500000  353.539835    728  332.629197  489.090511    685
106  proj_106.png  332.764192  62.943231    687  508.537681  203.939130    690  561.705722  353.573569    734  332.764192  488.930131    687
107  proj_107.png  333.050296  62.958580    676  509.374090  203.924309    687  559.913043  353.706522    736  333.032164  488.673977    684
108  proj_108.png  333.364964  62.935766    685  510.102941  203.927941    680  558.076087  353.805707    736  333.394469  488.403202    687
109  proj_109.png  333.712828  62.962099    686  510.905744  203.966127    679  556.138965  353.870572    734  333.718475  488.118768    682
110  proj_110.png  334.091988  62.958457    674  511.657475  203.979681    689  554.286486  353.968919    740  334.096012  487.961595    677
111  proj_111.png  334.578792  62.948454    679  512.454148  203.979622    687  552.441417  354.162125    734  334.572059  487.835294    680
112  proj_112.png  335.000000  63.000000    673  513.168129  203.979532    684  550.537415  354.221769    735  335.060383  487.550810    679
113  proj_113.png  335.567847  63.000000    678  513.911635  204.000000    679  548.548299  354.276190    735  335.640118  487.172566    678
114  proj_114.png  336.041729  63.000000    671  514.666183  204.020319    689  546.556927  354.384088    729  336.075780  487.026746    673
115  proj_115.png  336.842027  63.000000    671  515.369723  203.979622    687  544.519890  354.454047    729  336.760417  486.816964    672
116  proj_116.png  337.347697  63.000000    673  516.064993  204.053176    677  542.519836  354.493844    731  337.275037  486.666667    669
117  proj_117.png  338.041729  63.000000    671  516.773060  204.033675    683  540.500000  354.500000    732  338.083333  486.360119    672
118  proj_118.png  338.916168  63.020958    668  517.439768  204.044993    689  538.486301  354.526027    730  338.832593  486.109630    675
119  proj_119.png  339.634036  63.036145    664  518.089443  204.117302    682  536.451436  354.575923    731  339.638806  485.937313    670
120  proj_120.png  340.381955  63.051128    665  518.816058  204.112409    685  534.256445  354.686567    737  340.380240  485.750000    668
121  proj_121.png  341.129518  63.060241    664  519.407569  204.078603    687  532.154472  354.783198    738  341.252994  485.500000    668
122  proj_122.png  342.041854  63.041854    669  520.019062  204.151026    682  530.000000  354.846568    743  342.118087  485.239163    669
123  proj_123.png  343.047904  63.020958    668  520.686589  204.129738    686  527.827260  354.874494    741  343.079341  485.047904    668
124  proj_124.png  344.026987  63.026987    667  521.253275  204.148472    687  525.702849  354.921303    737  344.005970  484.967164    670
125  proj_125.png  345.049624  63.060150    665  521.910819  204.159357    684  523.450340  354.983673    735  345.009063  484.765861    662
126  proj_126.png  346.123680  63.110106    663  522.442836  204.283647    691  521.224628  355.000000    739  346.082192  484.456621    657
127  proj_127.png  347.143505  63.101208    662  523.020408  204.202624    686  519.036339  355.059219    743  347.156863  484.196078    663
128  proj_128.png  348.253049  63.094512    656  523.562139  204.346821    692  516.795148  355.098383    742  348.237082  484.030395    658
129  proj_129.png  349.500000  63.122324    654  524.070707  204.320346    693  514.585366  355.195122    738  349.440909  483.846970    660
130  proj_130.png  350.741590  63.096330    654  524.652111  204.366812    687  512.307692  355.198381    741  350.679389  483.670229    655
131  proj_131.png  351.904110  63.135464    657  525.088278  204.389291    691  510.035183  355.251691    739  351.934150  483.441041    653
132  proj_132.png  353.184451  63.121951    656  525.631195  204.371720    686  507.739837  355.243902    738  353.164885  483.248855    655
133  proj_133.png  354.503852  63.166410    649  526.078374  204.407837    689  505.485830  355.300945    741  354.564220  483.055046    654
134  proj_134.png  355.859542  63.140458    655  526.549275  204.420290    690  503.104698  355.351678    745  355.910606  482.968182    660
135  proj_135.png  357.192073  63.121951    656  527.056440  204.441389    691  500.842953  355.326174    745  357.189893  482.707504    653
136  proj_136.png  358.621329  63.139104    647  527.500000  204.500000    692  498.542625  355.374831    739  358.625000  482.504630    648
137  proj_137.png  360.107362  63.193252    652  527.927850  204.519481    693  496.211022  355.399194    744  360.092025  482.309816    652
138  proj_138.png  361.658986  63.192012    651  528.275613  204.533911    693  493.847185  355.449062    746  361.642638  482.142638    652
139  proj_139.png  363.124615  63.210769    650  528.728448  204.564655    696  491.533333  355.455782    735  363.108397  481.960305    655
140  proj_140.png  364.770416  63.204931    649  529.062229  204.577424    691  489.186327  355.431635    746  364.716923  481.786154    650
141  proj_141.png  366.232666  63.211094    649  529.475434  204.630058    692  486.835781  355.496662    749  366.273425  481.600614    651
