
################################################################################
Running scenario=G1 N_ANGLES=360, K=7
view   0 | SOD= 570.551 mm | SDD= 705.315 mm | M= 1.236 | incident=3.4990°
[[  81.309204  -564.17444    -25.       ]
 [ -18.649195   132.69592     18.       ]
 [   0.1481441    0.0208203    0.       ]
 [   0.           0.           0.1496   ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5          x6          y6  area6          x7          y7  area7
11   proj_011.png  483.075887  75.000000    817  377.060606  151.094862    759  422.867925  223.385445    742  466.238558  292.072122    721  567.591954  366.987069    696  526.454784  449.106160    763  483.034483  535.492611    812
12   proj_012.png  480.337821  75.019584    817  375.367666  151.048240    767  423.301480  223.399731    743  468.715278  291.993056    720  569.396307  367.191761    704  526.002628  449.149803    761  480.410891  535.517327    808
13   proj_013.png  477.631579  75.019584    817  373.792651  151.030184    762  423.877524  223.397039    743  471.324549  292.074896    721  571.039716  367.304965    705  525.505236  449.181937    764  477.584158  535.461634    808
14   proj_014.png  474.756987  75.000000    823  372.060447  151.000000    761  424.287062  223.378706    742  473.885201  292.001383    723  572.583333  367.330508    708  525.011780  449.238220    764  474.762376  535.445545    808
15   proj_015.png  472.199756  75.038977    821  370.500000  151.000000    764  424.884409  223.345430    744  476.431154  291.991655    719  574.295615  367.405941    707  524.497396  449.270833    768  472.146732  535.535142    811
16   proj_016.png  469.393643  75.000000    818  368.965699  150.980211    758  425.360700  223.347241    743  479.000000  292.000000    723  575.766620  367.551627    707  523.982917  449.429698    761  469.443069  535.514851    808
17   proj_017.png  466.698529  75.000000    816  367.410223  150.979030    763  425.946164  223.275908    743  481.594972  292.076816    716  577.452750  367.619182    709  523.400783  449.516971    766  466.617574  535.460396    808
18   proj_018.png  463.945746  75.027127    811  365.944664  150.902503    759  426.570270  223.268919    740  484.094444  292.048611    720  578.774468  367.712057    705  522.933159  449.601573    763  463.892025  535.418405    815
19   proj_019.png  461.284314  75.000000    816  364.443433  150.906372    769  427.080645  223.282258    744  486.671309  292.082173    718  580.444444  367.781997    711  522.159269  449.680157    766  461.302096  535.524044    811
20   proj_020.png  458.500000  75.000000    814  363.014512  150.877309    758  427.774194  223.245968    744  489.263966  292.090782    716  581.871469  367.947740    708  521.696615  449.791667    768  458.489493  535.483313    809
21   proj_021.png  455.770370  75.000000    810  361.663172  150.878113    763  428.299329  223.187919    745  491.745455  292.071329    715  583.370739  368.126420    704  521.071521  449.759428    769  455.700865  535.480841    809
22   proj_022.png  453.076828  75.039653    807  360.226018  150.863338    761  428.967871  223.092369    747  494.371308  292.126582    711  584.666195  368.202263    707  520.429870  449.890909    770  453.038272  535.390123    810
23   proj_023.png  450.371921  75.000000    812  358.969697  150.864295    759  429.641232  223.117805    747  496.919444  292.122222    720  586.089385  368.332402    716  519.836788  449.918394    772  450.377475  535.436881    808
24   proj_024.png  447.628079  75.000000    812  357.659658  150.839685    761  430.278820  223.081769    746  499.440225  292.201125    711  587.413408  368.400838    716  519.135065  449.990909    770  447.582512  535.444581    812
25   proj_025.png  445.000000  75.040151    797  356.404762  150.814815    756  430.937082  223.046854    747  501.916084  292.177622    715  588.698880  368.512605    714  518.500000  450.000000    766  444.972671  535.313043    805
26   proj_026.png  442.324723  75.013530    813  355.229855  150.700132    757  431.612601  223.069705    746  504.460563  292.207042    710  589.959384  368.633053    714  517.836364  450.028571    770  442.321340  535.322581    806
27   proj_027.png  439.628079  75.000000    812  354.055409  150.740106    758  432.338255  223.072483    745  506.983122  292.233474    711  591.266106  368.668067    714  517.134194  450.105806    775  439.599506  535.237330    809
28   proj_028.png  436.972466  75.058824    799  352.902116  150.648148    756  432.982620  223.010695    748  509.500000  292.244382    712  592.453652  368.811798    712  516.351175  450.074413    766  436.983770  535.171036    801
29   proj_029.png  434.328784  75.034739    806  351.837302  150.665344    756  433.711022  223.000000    744  511.990127  292.245416    709  593.582402  369.002793    716  515.770130  450.144156    770  434.329588  535.144819    801
30   proj_030.png  431.681988  75.052174    805  350.820343  150.653897    757  434.427419  223.000000    744  514.479663  292.272090    713  594.705882  369.193277    714  514.979221  450.298701    770  431.665000  535.057500    800
31   proj_031.png  429.039851  75.077210    803  349.820343  150.653897    757  435.178523  222.967785    745  516.892157  292.348739    714  595.739191  369.305439    717  514.187097  450.295484    775  429.061250  534.957500    800
32   proj_032.png  426.445963  75.012422    805  348.820343  150.653897    757  435.981283  222.991979    748  519.413408  292.335196    716  596.800836  369.415042    718  513.517995  450.380463    778  426.421836  534.861042    806
33   proj_033.png  423.932500  75.078750    800  347.849206  150.620370    756  436.688172  222.944892    744  521.800842  292.406732    713  597.850975  369.506964    718  512.803618  450.416021    774  423.845194  534.806492    801
34   proj_034.png  421.336250  75.061250    800  346.925828  150.520530    755  437.400538  222.944892    744  524.275140  292.399441    716  598.807746  369.611342    723  512.000000  450.500000    780  421.337051  534.723668    807
35   proj_035.png  418.772898  75.075282    797  346.071618  150.500000    754  438.235849  222.913747    742  526.716084  292.425175    715  599.809986  369.733703    721  511.105806  450.539355    775  418.715528  534.639752    805
