lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,coplanar,3,10,90,G3,run163_u0065004.log,144.19559668,8,2509900.336282,1699307.139942,32.295832014619315,35.52031,33.52093,5.628836009595643,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-16.30637543,-15.36764794,90.88010045,0.0,0.0,0.0,23.56356166,0.19429413,17.62349125,0.0,0.0,1.69362457,-7.36764794,115.88010045,0.0,0.0,0.0,-1.43643834,0.19429413,17.62349125
GN,coplanar,3,10,90,G4,run164_u0065064.log,368.53837069,14,2338932.885724,1533323.801624,34.44344594140116,80.29691,14.14657,82.38217385949223,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-5.75182559,-15.5214973,314.03436627,0.0,0.0,0.0,-13.92631623,7.12972521,7.67829127,0.0,0.0,1.24817441,-13.5214973,322.03436627,0.0,0.0,0.0,-16.92631623,7.12972521,7.67829127
GN,coplanar,3,12,108,G0,run165_u0065065.log,275.25605978,12,2548136.786323,1740429.77824,31.697945432848357,51.15092,9.184804,82.04371690675359,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-11.92918891,-9.390715,213.52743199,0.0,0.0,0.0,11.55022848,8.244921,16.6135744,0.0,0.0,-1.92918891,-14.390715,232.52743199,0.0,0.0,0.0,1.55022848,8.244921,16.6135744
GN,coplanar,3,12,108,G1,run166_u0065092.log,201.60435525000003,11,3017124.648362,2140481.05139,29.055597601773947,51.46549,34.01643,33.90438913532156,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-4.02832435,-11.82871381,151.75914528,0.0,0.0,0.0,13.27768517,8.57177784,13.1953575,0.0,0.0,1.97167565,-5.82871381,163.75914528,0.0,0.0,0.0,8.27768517,8.57177784,13.1953575
GN,coplanar,3,12,108,G2,run167_u0065004.log,77.70809468,7,3183581.320488,2442218.828625,23.287059987817713,31.31602,82.94108,-164.85191924133397,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-12.60755143,-7.5997622,22.81085445,0.0,0.0,0.0,7.4395483,6.41176573,12.13233643,0.0,0.0,2.39244857,4.4002378,44.81085445,0.0,0.0,0.0,-7.5604517,6.41176573,12.13233643
GN,coplanar,3,12,108,G3,run168_u0065064.log,145.49713993,8,3414511.501927,1974278.41955,42.17976953845948,63.52274,55.4421,12.720861851991893,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-13.69177397,-15.0263873,85.5458133,0.0,0.0,0.0,16.03390466,0.19416759,14.45645037,0.0,0.0,4.30822603,-7.0263873,110.5458133,0.0,0.0,0.0,-8.96609534,0.19416759,14.45645037
GN,coplanar,3,12,108,G4,run169_u0065065.log,231.06787066,9,2684326.80038,1932447.452718,28.00997805317751,64.91846,58.98654,9.137493403263106,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-3.48833725,-13.256706,185.69182642,0.0,0.0,0.0,-2.75468675,-0.17006646,16.68292228,0.0,0.0,3.51166275,-11.256706,193.69182642,0.0,0.0,0.0,-5.75468675,-0.17006646,16.68292228
GN,coplanar,3,15,135,G0,run170_u0065092.log,166.09948197,8,2888822.087238,2376888.132295,17.721200526836856,53.53689,28.54341,46.68459449176073,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-12.01781644,-4.94763225,114.35681721,0.0,0.0,0.0,2.8760321,3.8120101,9.84123807,0.0,0.0,-2.01781644,-9.94763225,133.35681721,0.0,0.0,0.0,-7.1239679,3.8120101,9.84123807
GN,coplanar,3,15,135,G1,run171_u0065004.log,124.75008627,8,3262738.682506,2680857.620259,17.83413012408572,68.44352,52.19371,23.741926189652435,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-10.30280196,-9.26220531,92.42019164,0.0,0.0,0.0,0.65785474,0.25742325,8.16531885,0.0,0.0,-4.30280196,-3.26220531,104.42019164,0.0,0.0,0.0,-4.34214526,0.25742325,8.16531885
GN,coplanar,3,15,135,G2,run172_u0065064.log,342.7387037,11,4405529.957556,2646885.213563,39.9190281518054,99.05058,18.54719,81.27503140314776,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-12.16115141,-29.16747441,277.17057172,0.0,0.0,0.0,12.5743245,3.12108801,18.01504547,0.0,0.0,2.83884859,-17.16747441,299.17057172,0.0,0.0,0.0,-2.4256755,3.12108801,18.01504547
GN,coplanar,3,15,135,G3,run173_u0065065.log,81.14385168999999,8,3950392.931934,2625092.59124,33.548570067058385,23.42649,47.74448,-103.80552101488529,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.31693234,-8.01704707,33.02825245,0.0,0.0,0.0,16.57055073,2.55257556,11.799595,0.0,0.0,-0.31693234,-0.01704707,58.02825245,0.0,0.0,0.0,-8.42944927,2.55257556,11.799595
GN,coplanar,3,15,135,G4,run174_u0065092.log,112.23978271,9,3265314.95047,2633241.664336,19.35719205410863,22.14975,62.35925,-181.53478030226077,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-8.45783273,-5.39393552,86.45994831,0.0,0.0,0.0,2.08305695,5.55174077,6.45938233,0.0,0.0,-1.45783273,-3.39393552,94.45994831,0.0,0.0,0.0,-0.91694305,5.55174077,6.45938233
