K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
5,10,0.031,0.000001,0.027172,51,0.093,0.000000,0.032972,39,-0.014,0.000000,0.011874,58,0.028,0.000001,0.093986,56,-0.035,0.000000,0.065528,34
6,10,-0.011,0.000000,0.000000,44,0.032,0.000001,0.016432,44,7.598,0.000267,1748.647904,34,10.985,0.000114,1853.942333,39,0.039,0.000000,0.082552,40
7,10,-0.007,0.000000,0.000000,33,0.044,0.000001,0.155267,42,-0.001,0.000000,0.000000,49,-0.004,0.000000,0.159293,62,0.024,0.000000,0.101693,33
1,12,1.125,0.000001,0.009200,30,1.093,0.000001,0.013820,29,0.893,0.000000,0.011663,29,0.687,0.000001,0.014411,27,1.257,0.000000,0.004067,31
2,12,0.038,0.000001,0.004812,51,10.742,0.000013,52.219651,34,8.103,0.000008,29.121582,47,15.687,0.000021,95.659409,46,0.072,0.000001,0.008504,32
3,12,0.012,0.000001,0.019915,52,-0.031,0.000000,0.004274,51,9.210,0.000005,53.559844,46,14.599,0.000030,136.037866,49,0.131,0.000000,0.030977,40
4,12,-0.030,0.000000,0.012233,46,-0.040,0.000000,0.033426,44,-0.004,0.000000,0.005227,75,0.053,0.000000,0.000000,52,0.155,0.000001,0.113980,34
5,12,0.081,0.000001,0.044595,44,-0.002,0.000001,0.017027,37,0.037,0.000000,0.010277,55,-0.044,0.000000,0.030234,54,0.094,0.000000,0.072495,32
6,12,0.006,0.000000,0.021989,43,0.024,0.000000,0.054468,41,0.052,0.000000,0.095698,57,0.016,0.000001,0.032852,63,0.012,0.000001,0.047631,31
7,12,0.004,0.000001,0.256018,44,0.028,0.000001,0.079592,41,0.088,0.000000,0.100283,47,-0.029,0.000000,0.094257,53,0.034,0.000001,0.042066,34
1,15,0.433,0.000000,0.000000,31,0.666,0.000001,0.006920,26,0.573,0.000000,0.005577,30,7.618,0.000001,0.682228,21,0.874,0.000001,0.013637,30
2,15,11.277,0.000012,65.761364,40,12.420,0.000027,150.672656,29,-0.055,0.000001,0.004168,38,20.131,0.000043,173.591487,57,-0.005,0.000000,0.003465,31
3,15,0.016,0.000000,0.000000,34,0.044,0.000001,0.029412,42,-0.042,0.000001,0.008101,49,0.095,0.000000,0.000000,76,-0.050,0.000001,0.010569,40
4,15,-0.036,0.000000,0.019781,51,-0.023,0.000001,0.040847,37,0.097,0.000001,0.087010,55,0.010,0.000001,0.147352,65,-0.009,0.000001,0.079526,37
5,15,0.009,0.000000,0.027648,45,-0.014,0.000001,0.022943,46,-0.001,0.000000,0.043491,79,0.019,0.000000,0.022709,57,0.105,0.000001,0.180469,32
6,15,0.090,0.000001,0.198171,53,-0.017,0.000001,0.088450,38,-0.023,0.000001,0.060589,75,0.068,0.000001,0.060801,68,0.052,0.000000,0.062153,35
7,15,-0.020,0.000000,0.016455,43,-0.058,0.000001,0.111957,39,-0.005,0.000000,0.056658,49,-0.014,0.000000,0.169571,57,0.007,0.000001,0.107751,35
1,18,1.304,0.000001,0.052236,33,0.261,0.000000,0.002026,32,0.429,0.000000,0.009287,36,0.415,0.000001,0.000953,31,0.838,0.000000,0.009070,28
2,18,15.645,0.000016,160.549055,36,0.026,0.000001,0.009811,43,0.071,0.000001,0.037469,53,15.939,0.000041,194.842548,41,-0.087,0.000000,0.000000,33
3,18,-0.005,0.000001,0.024701,51,-0.033,0.000000,0.032879,51,0.016,0.000001,0.037187,63,14.478,0.000033,246.174299,39,12.980,0.000010,235.236616,29
4,18,0.045,0.000001,0.033116,53,0.008,0.000000,0.037212,38,0.156,0.000001,0.069552,50,-0.029,0.000001,0.065336,53,0.030,0.000000,0.024982,39
5,18,0.026,0.000001,0.032479,52,-0.014,0.000000,0.005968,42,0.009,0.000000,0.017413,51,-0.040,0.000000,0.118074,61,-0.009,0.000001,0.112038,31
6,18,0.012,0.000001,0.033859,54,0.008,0.000001,0.085269,36,0.102,0.000001,0.121364,55,0.017,0.000000,0.021885,58,-0.030,0.000001,0.035747,36
7,18,-0.014,0.000001,0.141879,52,0.045,0.000001,0.137063,47,0.018,0.000001,0.079680,49,0.031,0.000001,0.095918,58,0.011,0.000000,0.093609,32
1,180,0.308,0.000001,0.106234,40,0.163,0.000001,0.108926,38,0.230,0.000001,0.085248,32,0.204,0.000001,0.133348,40,0.077,0.000001,0.068762,37
2,180,0.016,0.000001,0.169546,60,0.011,0.000001,0.143732,50,-0.006,0.000001,0.130172,60,-0.003,0.000001,0.075490,80,0.010,0.000001,0.102277,43
3,180,0.015,0.000002,0.344843,56,-0.003,0.000001,0.231353,59,-0.008,0.000001,0.272972,59,0.009,0.000001,0.335924,68,0.002,0.000001,0.251786,42
4,180,0.005,0.000001,0.432678,46,0.010,0.000002,0.487068,49,0.014,0.000001,0.593314,58,0.014,0.000002,0.459879,73,0.020,0.000001,0.225007,38
5,180,-0.009,0.000003,0.665537,56,0.007,0.000002,0.682792,50,-0.020,0.000001,0.665338,58,0.006,0.000002,0.873993,68,-0.002,0.000001,0.628140,38
6,180,0.001,0.000003,1.070437,52,-0.004,0.000001,1.302946,41,0.010,0.000001,0.959125,61,0.005,0.000002,0.915406,67,0.007,0.000001,1.291769,38
